[2025-11-19 13:49:23] [FAIL] 300297.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300297.csv
[2025-11-19 13:49:25] [FAIL] 000150.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000150.csv
[2025-11-19 13:49:25] [FAIL] 000413.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000413.csv
[2025-11-19 13:49:26] [FAIL] 000416.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000416.csv
[2025-11-19 13:49:26] [FAIL] 600466.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600466.csv
[2025-11-19 13:49:28] [FAIL] 002341.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002341.csv
[2025-11-19 13:49:29] [FAIL] 300309.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300309.csv
[2025-11-19 13:49:32] [FAIL] 000540.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000540.csv
[2025-11-19 13:49:34] [FAIL] 600647.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600647.csv
[2025-11-19 13:49:36] [FAIL] 002665.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002665.csv
[2025-11-19 13:49:36] [FAIL] 002699.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002699.csv
[2025-11-19 13:49:36] [FAIL] 300336.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300336.csv
[2025-11-19 13:49:38] [FAIL] 000587.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000587.csv
[2025-11-19 13:49:39] [FAIL] 000606.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000606.csv
[2025-11-19 13:49:42] [FAIL] 002411.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002411.csv
[2025-11-19 13:49:43] [FAIL] 603555.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\603555.csv
[2025-11-19 13:49:45] [FAIL] 000616.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000616.csv
[2025-11-19 13:49:46] [FAIL] 000666.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000666.csv
[2025-11-19 13:49:46] [FAIL] 000667.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000667.csv
[2025-11-19 13:49:46] [FAIL] 000671.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000671.csv
[2025-11-19 13:49:48] [FAIL] 002002.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002002.csv
[2025-11-19 13:49:49] [FAIL] 002013.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002013.csv
[2025-11-19 13:49:50] [FAIL] 002433.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002433.csv
[2025-11-19 13:49:50] [FAIL] 002417.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002417.csv
[2025-11-19 13:49:51] [FAIL] 002435.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002435.csv
[2025-11-19 13:49:51] [FAIL] 300356.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300356.csv
[2025-11-19 13:49:52] [FAIL] 603133.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\603133.csv
[2025-11-19 13:49:55] [FAIL] 600766.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600766.csv
[2025-11-19 13:49:55] [FAIL] 600767.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600767.csv
[2025-11-19 13:49:56] [FAIL] 600781.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600781.csv
[2025-11-19 13:50:00] [FAIL] 000732.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000732.csv
[2025-11-19 13:50:02] [FAIL] 600823.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600823.csv
[2025-11-19 13:50:03] [FAIL] 600836.SH | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\600836.csv
[2025-11-19 13:50:04] [FAIL] 300089.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300089.csv
[2025-11-19 13:50:05] [FAIL] 300116.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\300116.csv
[2025-11-19 13:50:06] [FAIL] 002288.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\002288.csv
[2025-11-19 13:50:07] [FAIL] 000806.SZ | get_daily_bars | LocalCSVDataProvider | 数据文件不存在: C:\Users\123\A股数据\个股数据\000806.csv
